,uid,country,language,birthdate,joined
0,1316040758,EG,"AR,EN,",1984-03-11T00:00:00.000Z,2021-01-13T00:00:00.000Z
1,1429235843,KE,"EN,KI,SW,",1993-03-01T00:00:00.000Z,2021-05-27T00:00:00.000Z
2,1430094402,PK,"DE,EN,ES,ID,PT,RU,",1989-09-24T00:00:00.000Z,2021-05-29T00:00:00.000Z
3,1458049517,TR,"DE,EN,FR,RU,TR,",1996-12-16T00:00:00.000Z,2021-07-27T00:00:00.000Z
4,1490584733,ID,"EN,ID,",1982-03-13T00:00:00.000Z,2021-09-29T00:00:00.000Z
5,1648608319,PE,"DE,EN,FR,IT,NL,RU,",1993-06-03T00:00:00.000Z,2022-06-17T00:00:00.000Z
6,1674749132,KE,"EN,",1999-01-09T00:00:00.000Z,2022-08-14T00:00:00.000Z
7,1675921760,PH,"EN,ES,PT,PT-BR,TL,",1986-11-18T00:00:00.000Z,2022-08-17T00:00:00.000Z
8,1684019585,ET,"AM,EN,",1998-10-04T00:00:00.000Z,2022-09-06T00:00:00.000Z
9,1699065816,US,EN,2000-07-07T00:00:00.000Z,2022-10-11T00:00:00.000Z
10,1703905621,PK,"DE,EN,ES,FR,HE,RU,",1984-10-27T00:00:00.000Z,2022-10-23T00:00:00.000Z
11,1706440161,US,"AR,EN,",1999-02-02T00:00:00.000Z,2022-10-30T00:00:00.000Z
12,1709755371,US,"EN,ES,FR,JA,RU,",1995-06-13T00:00:00.000Z,2022-11-06T00:00:00.000Z
13,1710096477,EG,"AR,EN,",1998-02-01T00:00:00.000Z,2022-11-07T00:00:00.000Z
14,1713698815,KE,"EN,SW,",1997-09-15T00:00:00.000Z,2022-11-14T00:00:00.000Z
15,1714073899,ID,"EN,ES,FR,ID,RU,",1994-10-25T00:00:00.000Z,2022-11-15T00:00:00.000Z
16,1716528528,PH,"EN,",1982-03-02T00:00:00.000Z,2022-11-21T00:00:00.000Z
17,1718146027,US,"EN,",1994-01-15T00:00:00.000Z,2022-11-24T00:00:00.000Z
18,1718416044,EG,"AR,EN,",2003-02-25T00:00:00.000Z,2022-11-25T00:00:00.000Z
19,1725201772,US,"EN,ES,",2002-03-16T00:00:00.000Z,2022-12-08T00:00:00.000Z
20,1725259597,ET,"EN,",1990-02-22T00:00:00.000Z,2022-12-08T00:00:00.000Z
